dist,corr
95,0.4953768124447479
7,0.9442581035942237
67,0.6510939381340938
84,0.580282148206686
181,0.2560583889775977
40,0.7659745471079139
40,0.7339922199917849
121,0.46785188323826526
58,0.6252715080430584
138,0.38389383752606093
19,0.857825041408283
133,0.3985009783242057
63,0.6269440916776834
54,0.6689054002654633
151,0.3170837338516285
187,0.2656388971774689
172,0.30139820536405504
87,0.5078527000304197
49,0.6924940315886106
148,0.31919255647858946
70,0.578257173958244
72,0.5843397409201984
47,0.6831021269133272
93,0.5352228905572761
36,0.7409803414796348
159,0.3557852321114293
77,0.48633980196092247
148,0.35483968198488386
66,0.6403128361488302
169,0.31691034212394625
155,0.25461670564747746
176,0.2890093798406085
172,0.3085689608243265
17,0.8942516526416736
97,0.5286007014077468
107,0.5270385466112784
58,0.6121880225912378
199,0.26881050626754016
85,0.5042055021788887
115,0.4390821183608601
153,0.37171236839761485
58,0.6573137365991111
19,0.8795765523227927
161,0.3243959210011292
124,0.5001185998174061
150,0.32469132450550786
103,0.4453896485249565
18,0.855418205808896
49,0.6526943863902597
11,0.913532194197034
64,0.6157012404367391
127,0.3797829425029063
103,0.5002415136849163
22,0.8380676389677771
10,0.9159295543766688
127,0.41224226617537996
123,0.40661414831565124
70,0.569893527796291
7,0.9466361572701943
10,0.9240476554415004
127,0.4382966559579776
128,0.3783723800372869
105,0.43697643218165033
102,0.4424850802591457
165,0.315090413684222
95,0.4632147502650814
165,0.3784074392958908
79,0.6025196847317491
41,0.7161394840390869
98,0.5980583257208046
51,0.6995660033178386
9,0.921046472247636
141,0.3678014274021671
55,0.6752606928594086
129,0.357823420223615
119,0.40852908376678665
34,0.7784951746088056
75,0.5530547102226998
133,0.40141359792975023
50,0.7559764688348175
157,0.36774491301497125
65,0.6141522454799195
88,0.4990154653527252
135,0.3430682531679793
91,0.5174635253856912
194,0.25447570214535087
197,0.220813562965865
143,0.34596667934153447
88,0.5459352092107191
189,0.290094514429756
52,0.7074686205557156
116,0.43677097420766103
85,0.597471416219306
132,0.40597664988986176
174,0.299627451348713
149,0.3345807793706378
95,0.4741737105251985
132,0.417581394418677
167,0.3491235855254886
172,0.2650091056592275
34,0.7343371498241258
120,0.4541175632720194
45,0.7196459341661195
74,0.5872992995749944
118,0.37182413806873904
124,0.45172380560816944
54,0.7057133401434053
62,0.6645856327041413
57,0.6765585275651601
169,0.2962793335185276
25,0.8304633284428017
54,0.6711145015317659
21,0.8331096231140981
95,0.5315752552197336
153,0.34699385367915603
32,0.7853735162032122
83,0.5602908840502961
118,0.367902678368888
65,0.6209194105704564
175,0.270723679884109
108,0.4802379638254045
29,0.7830241602955037
21,0.85139833576436
192,0.21493849284733002
54,0.651481349639155
18,0.8906806752818126
43,0.7027423863734574
80,0.5996035514567208
114,0.4446647150973323
132,0.40755136543938836
33,0.8275507970633571
125,0.44203249493018526
132,0.3449389531572165
194,0.25291978865315434
172,0.24033644427722653
79,0.5486955080839626
173,0.2589653983686032
141,0.3940127276124603
40,0.7113328116752162
116,0.3803613005769434
186,0.20336370838320755
103,0.49946314111183315
43,0.7610456955828397
154,0.3564870286497185
23,0.8495937772733441
95,0.5239276041873073
142,0.3912509886098859
19,0.8737767144268977
42,0.7508613432811743
115,0.5027624620603989
157,0.3504913813094625
106,0.4919055286191619
101,0.4982452783438593
80,0.5256995538750866
187,0.310777376754538
103,0.4761937785362501
109,0.4739183546544427
16,0.9058060446241212
165,0.3394362789993074
187,0.31745341777930114
38,0.7620643011128782
99,0.5367063277730707
131,0.35871591302760314
23,0.8224836894246097
143,0.38470513557114827
115,0.4536353159021247
62,0.6628069933147737
105,0.43719552196718664
18,0.8799120966412242
193,0.2640390493637127
115,0.43452095054156936
94,0.5419244171727572
8,0.9359919128393559
37,0.7494372604931351
147,0.3642267477318983
115,0.44203457243074623
92,0.5592265338765565
181,0.357591747153368
14,0.9034455895948889
42,0.7457720438664621
80,0.521838317004868
36,0.7721054834342873
118,0.3937357199185807
56,0.6262967111202816
54,0.6894340694492942
88,0.5165681440457642
172,0.31910001043510977
123,0.42127222828376076
57,0.639903985616961
131,0.3950987871162763
62,0.6670245443321187
36,0.7750050932360816
177,0.30063160131029654
128,0.3900101494816423
179,0.2556373295501665
16,0.8940151633126926
181,0.2892244835987525
38,0.7701693240919283
129,0.34347101569037775
161,0.35476116642196914
105,0.43538920089625344
132,0.36820265757571347
108,0.4637918162705772
152,0.3979409591198615
54,0.6662652628710763
40,0.7764987778025946
98,0.46236581411294925
144,0.4522036220752935
43,0.6972722263438865
130,0.3908181092845549
149,0.31157725068706216
169,0.31206185491840377
155,0.3493361355109573
145,0.4434235915522191
76,0.5815929807146958
18,0.8777915481123997
54,0.7154368036055884
94,0.5088761355959623
91,0.4972992057391692
69,0.5791853111887173
147,0.40366395821285167
84,0.5767752255111434
102,0.5034080919353484
190,0.1925866665514648
93,0.5033171598693791
85,0.5134026033500074
99,0.5518888941803969
58,0.637722739210394
75,0.6047049647956682
119,0.3755698048280901
136,0.41329724886458524
12,0.9148221489586627
182,0.30647074217775594
90,0.45598327091463725
91,0.5431023504797855
133,0.428818370611208
44,0.6822487218272748
153,0.30701031018674185
192,0.21782381219361677
6,0.9525396067096222
19,0.8709384493116146
190,0.2960669710703498
64,0.6197859877458353
129,0.35334301564855886
160,0.35537084668329716
83,0.5296499185223061
161,0.3244998566856062
180,0.3291970950701604
65,0.6644137455631647
79,0.5431632102533306
76,0.56964114032357
111,0.508009683722736
89,0.48379997059603425
82,0.5776644994384648
185,0.3172131765101528
169,0.37096681866043846
143,0.3727221147839079
13,0.9038652608946454
30,0.8039747839506777
102,0.5462874075578369
133,0.3750655725556465
22,0.8760323840060428
76,0.6011152841761277
123,0.4294006059775429
179,0.24833165115689512
161,0.2660469928291113
102,0.4786865295636424
90,0.5665883277527928
162,0.32537720643539153
24,0.8134912471437928
24,0.8238788787868502
114,0.4442040009222883
39,0.7721428962657629
52,0.6618880193659362
137,0.43022832030466834
28,0.8203623536568593
120,0.41700964294697423
24,0.826310802941833
121,0.3788664617033744
79,0.574816115168324
199,0.2086297682848684
6,0.9554878772760066
99,0.5047769503669132
168,0.2665508287356052
139,0.4248718302363236
160,0.28712083920391673
154,0.4203932378404348
90,0.5073247155843256
195,0.2276428959104017
178,0.28256920707427813
185,0.23771746670035013
104,0.46957501119531947
