var,method,RVacc,RVacc_std
-0.1,L1,-0.12707741765634056,0.18473234467120045
-0.1,L21,-0.09162689016020516,0.2569965558124875
-0.1,Ls,-0.006665153148903197,0.2417176645088425
-0.1,Lc,0.02472980284312446,0.0549777020490248
-0.05,L1,-0.06344911414580692,0.24801083099332677
-0.05,L21,-0.03144153391223155,0.22693170382021027
-0.05,Ls,0.03213289555469829,0.1531091240108365
-0.05,Lc,0.021381062760149262,0.11673485734883793
0.05,L1,-0.024581358560208946,0.2651147700205472
0.05,L21,-0.006767446472693067,0.14859778643060306
0.05,Ls,-0.08476489274728127,0.14266244554292598
0.05,Lc,0.007037983128012876,0.06865283224200125
0.1,L1,-0.17615242748108706,0.3930754530682819
0.1,L21,0.014619873067505146,0.31329607030376166
0.1,Ls,-0.006992254563785191,0.18452936757399668
0.1,Lc,0.035379196285621126,0.09887710938794303
