Lasso,ENet,SGLasso,Pclogit,CDReg w/o S,CDReg w/o C,CDReg,data,metric
0.01561607,0.015961318,0.037666235,0.015179924,0.020053733,0.013949992,0.012053206,covGau_de1_b0.5,isol
0.036611162,0.035861128,0.0492343,0.024474719,0.023132099,0.021267067,0.003950352,covGau_de1_b0.5,isol
0.936333333,0.937,0.937,0.940666667,0.939666667,0.927666667,0.942333333,covLap2_de1_b0.5,acc
0.931,0.931,0.93,0.935,0.935333333,0.938333333,0.939333333,covLap2_de1_b0.5,acc
0.935333333,0.935,0.935333333,0.939333333,0.938333333,0.937666667,0.941666667,covLap2_de1_b0.5,acc
0.936333333,0.935333333,0.94,0.939,0.936333333,0.936,0.942666667,covLap2_de1_b0.5,acc
0.939,0.939,0.938333333,0.938,0.940333333,0.940333333,0.940666667,covLap2_de1_b0.5,acc
0.938,0.938,0.935,0.941333333,0.933333333,0.936666667,0.947333333,covLap2_de1_b0.5,acc
0.938,0.937666667,0.936333333,0.939,0.938333333,0.936,0.940333333,covLap2_de1_b0.5,acc
0.942,0.942,0.938333333,0.94,0.934,0.935666667,0.943333333,covLap2_de1_b0.5,acc
0.931666667,0.931666667,0.933333333,0.937,0.935666667,0.937,0.937333333,covLap2_de1_b0.5,acc
0.939333333,0.938333333,0.936333333,0.942,0.937666667,0.928333333,0.943666667,covLap2_de1_b0.5,acc
0.634013002,0.63462569,0.657243893,0.641589835,0.547438928,0.685244287,0.685382191,covLap2_de1_b0.5,AUROC
0.61019208,0.611022459,0.634062254,0.619717297,0.53768026,0.573723404,0.642563042,covLap2_de1_b0.5,AUROC
0.605799842,0.608214145,0.643404255,0.632865445,0.509919228,0.582734437,0.693823877,covLap2_de1_b0.5,AUROC
0.614146966,0.619572498,0.657772853,0.635708235,0.548404255,0.616174153,0.664178487,covLap2_de1_b0.5,AUROC
0.62320331,0.625981087,0.669488771,0.625395981,0.601733649,0.612405437,0.676008668,covLap2_de1_b0.5,AUROC
0.636521868,0.639221828,0.674321316,0.645498424,0.567068558,0.662206462,0.7035855,covLap2_de1_b0.5,AUROC
0.604265169,0.608651497,0.682247833,0.63998818,0.603595351,0.544085894,0.714848306,covLap2_de1_b0.5,AUROC
0.619785264,0.624517336,0.684903467,0.643725374,0.573638692,0.581621355,0.720803783,covLap2_de1_b0.5,AUROC
0.618544129,0.618152088,0.658721434,0.638733255,0.632421198,0.591813436,0.675612687,covLap2_de1_b0.5,AUROC
0.610962372,0.606381009,0.690834318,0.641540583,0.625220646,0.493802206,0.69159082,covLap2_de1_b0.5,AUROC
0.144541851,0.145794064,0.157899736,0.202610008,0.134644629,0.183235882,0.289648298,covLap2_de1_b0.5,AUPRC
0.124632839,0.123831935,0.125482353,0.158499951,0.085010452,0.114338528,0.177621042,covLap2_de1_b0.5,AUPRC
0.133215393,0.134092199,0.144006596,0.190321398,0.083213537,0.146900531,0.28404716,covLap2_de1_b0.5,AUPRC
0.135624347,0.137318187,0.165788337,0.217142678,0.081193051,0.128074972,0.292618993,covLap2_de1_b0.5,AUPRC
0.154191542,0.155375008,0.146117435,0.178161447,0.187002509,0.163442745,0.184980505,covLap2_de1_b0.5,AUPRC
0.1619612,0.161109144,0.144432827,0.225507988,0.086656293,0.125972344,0.384093326,covLap2_de1_b0.5,AUPRC
0.148603249,0.150784583,0.165732667,0.21046563,0.158582652,0.120617173,0.197611751,covLap2_de1_b0.5,AUPRC
0.171442719,0.17226197,0.150982919,0.219180149,0.11249455,0.147814766,0.29237212,covLap2_de1_b0.5,AUPRC
0.136187251,0.135478465,0.157502553,0.21028497,0.107869947,0.104391544,0.180787698,covLap2_de1_b0.5,AUPRC
0.204347617,0.202556342,0.169088285,0.243118155,0.133904214,0.061781291,0.319827858,covLap2_de1_b0.5,AUPRC
0.075976585,0.076336852,0.089600692,0.070212706,0.018970716,0.02305482,0,covLap2_de1_b0.5,indi
0.040066998,0.041085197,0.062550071,0.02791294,0.003581387,0.004543423,0,covLap2_de1_b0.5,indi
0.068394592,0.069579342,0.07226134,0.042207834,0.006645991,0.01966802,0,covLap2_de1_b0.5,indi
0.042580352,0.041831681,0.062540065,0.050469666,0.027864711,0.043299783,0.012834435,covLap2_de1_b0.5,indi
0.059552781,0.060952276,0.0646538,0.057801754,0.043430034,0.051664685,0.037149985,covLap2_de1_b0.5,indi
0.020189595,0.019896256,0.026471282,0.01491098,0.003848641,0.052294133,0,covLap2_de1_b0.5,indi
0.060714909,0.062702664,0.075417793,0.043745174,0.031741051,0.039983681,0.02803803,covLap2_de1_b0.5,indi
0.02964037,0.030061597,0.038013414,0.018273187,0.038368934,0.083960153,0,covLap2_de1_b0.5,indi
0.05278322,0.053329271,0.064253783,0.040623923,0.009655696,0.048956701,0,covLap2_de1_b0.5,indi
0.082842472,0.082817149,0.065343424,0.065847137,0.004230691,0.03299149,0.000569816,covLap2_de1_b0.5,indi
0.04848931,0.050648456,0.042425718,0.037491482,0.040638968,0.032454484,0.023352291,covLap2_de1_b0.5,isol
0.043834235,0.045805383,0.073948704,0.03951918,0.062957898,0.015373329,0.014355278,covLap2_de1_b0.5,isol
0.058036589,0.059375042,0.065536426,0.044783555,0.033095991,0.029849264,0.028132572,covLap2_de1_b0.5,isol
0.046044611,0.046935352,0.052592204,0.023295789,0.024437238,0.02406065,0.018030264,covLap2_de1_b0.5,isol
0.053130852,0.054361739,0.089479284,0.071359749,0.025728098,0.0181329,0.016140382,covLap2_de1_b0.5,isol
0.049699165,0.051073353,0.064307251,0.030946532,0.021784713,0.020853898,0.014181159,covLap2_de1_b0.5,isol
0.056291373,0.056630399,0.057954996,0.025031543,0.033006859,0.029180418,0.015533104,covLap2_de1_b0.5,isol
0.08573183,0.084964285,0.061210157,0.053412755,0.043614904,0.042966387,0.040370976,covLap2_de1_b0.5,isol
0.060118926,0.060371221,0.061354711,0.057384697,0.034453692,0.029658594,0.028270564,covLap2_de1_b0.5,isol
0.061812918,0.062060081,0.059323023,0.02009377,0.020110859,0.01950442,0.018753742,covLap2_de1_b0.5,isol
