Comb,Subject,Label,x,y
pair_cancer,Paired,Cancer,-177.25024542688138,258.5439510987646
pair_cancer,Paired,Cancer,-206.05895932402302,145.65166118952362
pair_cancer,Paired,Cancer,-174.8671532215342,212.1256097828054
pair_cancer,Paired,Cancer,29.382464504811374,-55.24009939828478
pair_cancer,Paired,Cancer,178.19238616233434,441.910899371792
pair_cancer,Paired,Cancer,-185.80747262006787,117.44752588933774
pair_cancer,Paired,Cancer,-330.31535435307256,93.17212841385323
pair_cancer,Paired,Cancer,-76.66452419440267,-1.898616122361821
pair_cancer,Paired,Cancer,178.61121507085164,98.63542728612151
pair_cancer,Paired,Cancer,141.75497738813445,3.0942926366294685
pair_cancer,Paired,Cancer,-64.83706156168294,-9.88423093508228
pair_cancer,Paired,Cancer,100.18585490469397,4.2864407072224395
pair_cancer,Paired,Cancer,252.5666185023128,133.95186493064526
pair_cancer,Paired,Cancer,134.29140610452527,42.957498902901754
pair_cancer,Paired,Cancer,-130.11389862470682,160.36719798627192
pair_cancer,Paired,Cancer,-283.0926999862457,-113.13035189938961
pair_cancer,Paired,Cancer,107.6271505461971,73.93156333889002
pair_cancer,Paired,Cancer,-19.19474639601695,-73.19257234319994
pair_cancer,Paired,Cancer,316.8421232913723,0.9814594361931015
pair_cancer,Paired,Cancer,-4.4435052756323286,-15.746199604938832
pair_cancer,Paired,Cancer,65.92261057473891,44.64758375985969
pair_cancer,Paired,Cancer,-55.248778932297164,150.42636070231885
pair_cancer,Paired,Cancer,33.3388554112449,65.9204547676759
pair_cancer,Paired,Cancer,212.74920518645624,144.24282881678363
pair_cancer,Paired,Cancer,-121.54073832943824,102.36807273394957
pair_cancer,Paired,Cancer,-152.2400857256343,-63.925828694571365
pair_cancer,Paired,Cancer,-93.31148905877392,-132.75478203121136
pair_cancer,Paired,Cancer,-343.1174739315103,-73.11979841155298
pair_cancer,Paired,Cancer,409.9222309374437,144.93828343722714
pair_normal,Paired,Normal,-176.43814207172124,-335.78493881179503
pair_normal,Paired,Normal,-131.08413873132992,-308.3624401379022
pair_normal,Paired,Normal,-181.51991014654766,-240.4732118910189
pair_normal,Paired,Normal,-147.48095055505274,270.2501179918449
pair_normal,Paired,Normal,-64.2046147652973,13.346598928232536
pair_normal,Paired,Normal,-175.1628688966472,-49.551992632898965
pair_normal,Paired,Normal,-163.22104129944358,28.05927555692258
pair_normal,Paired,Normal,-95.96452422664017,241.95419272634686
