Bin_center,Percentage
1.9999999999999998,1.6247714746875592
3.9905246299377604,2.499792553889146
7.962143411069945,3.7894381823973275
15.88656469448563,5.6315596467794995
31.697863849222287,8.585592265338297
63.24555320336759,12.172670112502711
126.19146889603861,13.316969627212647
251.78508235883353,11.354930927136895
502.377286301916,7.392844046028946
1002.3744672545431,6.453046245760738
2000.0000000000002,7.014087598469984
3990.524629937758,4.797492444946479
7962.143411069947,5.369508366100897
15886.564694485613,4.584960558471698
31697.863849222224,3.075555888658988
63245.55320336759,1.499500790971945
126191.46889603835,0.5690715247422984
251785.08235883326,0.1964715424086769
502377.2863019155,0.05380215262144966
1002374.4672545431,0.01231293045068002
2000000.0000000002,0.004818103219831313
3990524.62993775,0.0
7962143.41106994,0.0002676724011017396
15886564.69448558,0.0005353448022034792
