dist,corrN,corrC,expD,corrNAbs,corrCAbs
3.0,0.36068773109553215,0.3265109380681105,0.999999998888509,0.36068773109553215,0.3265109380681105
3484.0,0.5293774499077512,0.4355006405990025,0.9985020604667402,0.5293774499077512,0.4355006405990025
5.0,0.3276955109516286,0.7482886700482704,0.9999999969125248,0.3276955109516286,0.7482886700482704
59.0,0.9614853812050037,0.9156258847603633,0.999999570100048,0.9614853812050037,0.9156258847603633
5.0,0.786808070470332,0.8881510764230537,0.9999999969125248,0.786808070470332,0.8881510764230537
403.0,-0.20919316976808974,0.0009822110873277544,0.9999799428508712,0.20919316976808974,0.0009822110873277544
1521.0,-0.05227910662420998,0.32811285336000207,0.9997143331436094,0.05227910662420998,0.32811285336000207
652.0,0.336874402468531,0.9041444920556514,0.9999475014560989,0.336874402468531,0.9041444920556514
62.0,0.1025599356382994,0.16103877248129148,0.9999995252699286,0.1025599356382994,0.16103877248129148
2371.0,-0.05459794941770985,0.49531973612913943,0.999305973864749,0.05459794941770985,0.49531973612913943
115.0,0.6101173709218308,0.5816138854811065,0.9999983667269623,0.6101173709218308,0.5816138854811065
216.0,0.618870115394739,0.7374076016275175,0.9999942380469157,0.618870115394739,0.7374076016275175
410.0,0.29411222824717326,0.7916822393706879,0.9999792400323645,0.29411222824717326,0.7916822393706879
46.0,0.5899636682977791,0.9154214612002308,0.9999997386761347,0.5899636682977791,0.9154214612002308
830.0,0.28038405668417204,0.4563953102438508,0.9999149251529433,0.28038405668417204,0.4563953102438508
51.0,0.8396685693772232,0.7678986440396781,0.9999996787791336,0.8396685693772232,0.7678986440396781
37.0,0.34667265737983116,0.4465809475326972,0.9999998309298733,0.34667265737983116,0.4465809475326972
34.0,0.740641004847228,0.9382729595646905,0.9999998572351577,0.740641004847228,0.9382729595646905
10.0,0.3387584114784845,0.4308384736765291,0.9999999876500993,0.3387584114784845,0.4308384736765291
3832.0,0.47474763362858996,0.8013315909020977,0.9981881562872225,0.47474763362858996,0.8013315909020977
516.0,0.2835099813821474,0.6048693082216896,0.9999671181889318,0.2835099813821474,0.6048693082216896
166.0,-0.024783647397591434,0.6832193943644417,0.9999965968671456,0.024783647397591434,0.6832193943644417
983.0,-0.09032189912089769,0.07923287344777227,0.9998806713879635,0.09032189912089769,0.07923287344777227
76.0,0.49312561632327356,0.6213873369488285,0.9999992866699883,0.49312561632327356,0.6213873369488285
148.0,-0.18413531116290527,0.06434475802393903,0.999997294881403,0.18413531116290527,0.06434475802393903
34.0,0.15327788176110196,0.3305943551148414,0.9999998572351577,0.15327788176110196,0.3305943551148414
434.0,0.1450450923231594,0.5210189124373932,0.9999767384915347,0.1450450923231594,0.5210189124373932
1295.0,0.04190692710208112,0.47521904683935434,0.9997929105232749,0.04190692710208112,0.47521904683935434
2354.0,0.3470608856942205,-0.2167233847035414,0.9993158870869006,0.3470608856942205,0.2167233847035414
1970.0,0.35156259292843245,0.4152831339579008,0.9995208275423912,0.35156259292843245,0.4152831339579008
110.0,0.8328368879898911,0.9479451836487666,0.9999985056631282,0.8328368879898911,0.9479451836487666
2.0,0.4496898310955241,0.9737343321712864,0.9999999995060039,0.4496898310955241,0.9737343321712864
3.0,0.6072635939080363,0.5221019605889504,0.999999998888509,0.6072635939080363,0.5221019605889504
319.0,0.34078332969727365,0.1337616822918566,0.9999874326964877,0.34078332969727365,0.1337616822918566
176.0,0.6385865359148394,0.6748924087491325,0.9999961745020672,0.6385865359148394,0.6748924087491325
507.0,0.3828101116957283,0.24891987580486416,0.99996825520755,0.3828101116957283,0.24891987580486416
430.0,0.44923632038267747,0.5015434747523286,0.9999771652942667,0.44923632038267747,0.5015434747523286
535.0,0.09025174398711532,0.3298198895434331,0.9999646521213875,0.09025174398711532,0.3298198895434331
3203.0,-0.11387274766114422,0.04660073778291051,0.9987338001811681,0.11387274766114422,0.04660073778291051
4032.0,0.14662866474163314,0.27864041343805956,0.997994287808732,0.14662866474163314,0.27864041343805956
2.0,0.3901157777216546,0.6116763025293508,0.9999999995060039,0.3901157777216546,0.6116763025293508
86.0,0.6479276828412514,0.4196413364759513,0.9999990866017592,0.6479276828412514,0.4196413364759513
1872.0,0.7966362298838684,0.9345827727272269,0.9995673056940073,0.7966362298838684,0.9345827727272269
77.0,0.4542228820919898,0.328008789266942,0.9999992677746539,0.4542228820919898,0.328008789266942
145.0,0.5210786783181773,0.9423503662279686,0.9999974034367427,0.5210786783181773,0.9423503662279686
623.0,0.669478181304027,0.5375133875301121,0.999952067602591,0.669478181304027,0.5375133875301121
2001.0,0.27458247553191484,0.41258793410147415,0.999505632091389,0.27458247553191484,0.41258793410147415
54.0,0.6546657301817981,0.3699395888498209,0.9999996398769596,0.6546657301817981,0.3699395888498209
119.0,0.7078102845214481,0.8428763479197238,0.999998251132087,0.7078102845214481,0.8428763479197238
13.0,0.23758014067231206,0.44482320831245864,0.999999979128668,0.23758014067231206,0.44482320831245864
2754.0,0.5639124311240259,0.3778349140160503,0.9990637583511327,0.5639124311240259,0.3778349140160503
1039.0,0.41705428758542645,0.8236057287968762,0.9998666891148299,0.41705428758542645,0.8236057287968762
27.0,0.2961629786975065,0.11693394755427858,0.9999999099692277,0.2961629786975065,0.11693394755427858
980.0,0.12068941425088396,0.471297897189406,0.999881398587096,0.12068941425088396,0.471297897189406
1948.0,0.10109405569351662,0.08938028042610287,0.999531467618608,0.10109405569351662,0.08938028042610287
6.0,0.08409308251575999,0.6028201999358509,0.9999999955540357,0.08409308251575999,0.6028201999358509
54.0,0.6813196876953307,0.8291848863886869,0.9999996398769596,0.6813196876953307,0.8291848863886869
101.0,0.4727777165134429,0.5796968179286013,0.9999987401874201,0.4727777165134429,0.5796968179286013
2983.0,0.565685906506856,0.4968145402829522,0.9989016737441518,0.565685906506856,0.4968145402829522
233.0,0.25189504356646397,0.17271253923279015,0.9999932953848689,0.25189504356646397,0.17271253923279015
290.0,0.4740590251551761,0.40890028617983776,0.9999896137874235,0.4740590251551761,0.40890028617983776
261.0,0.4231886701023493,0.8915703221120816,0.9999915871595121,0.4231886701023493,0.8915703221120816
4083.0,0.3417368138847017,0.03245817482948322,0.9979432797114434,0.3417368138847017,0.03245817482948322
19.0,0.8810173847963334,0.9815777135123271,0.9999999554168594,0.8810173847963334,0.9815777135123271
303.0,0.11312195989975317,0.8421006289970835,0.9999886617439177,0.11312195989975317,0.8421006289970835
