group,Mean,Std,Count,Standard error
"Individual, Cancer
Individual, Normal",391.2996457343973,191.50647464763688,1293,5.325791978182146
"Paired, Cancer
Individual, Cancer",310.03148421919315,170.92181771312926,12499,1.5288323674953535
"Paired, Cancer
Paired, Normal",267.72719624432926,144.3504042862033,841,4.977600147800113
"Paired, Normal
Individual, Normal",318.16055946053774,147.49689186562344,87,15.813326661874965
"Paired-
cancer-normal",268.1960279632295,157.95071211733537,29,29.330710901934758
