Bin_center,Percentage
1.0,12.64935751021613
1.9952623149688793,1.0627884211998322
3.981071705534973,2.4207958482885066
7.943282347242811,4.54015755372209
15.848931924611142,7.627526841622773
31.622776601683793,11.005453782687736
63.0957344480193,12.417843658229618
125.89254117941675,14.475053994002392
251.18864315095797,12.526608555136034
501.18723362727144,10.310912226728197
1000.0,6.8506347208626615
1995.2623149688789,3.0065725073416307
3981.071705534969,0.8825494491834864
7943.282347242805,0.16936248232570425
15848.931924611108,0.03729082179648534
31622.776601683792,0.010876489690641557
63095.73444801917,0.00621513696608089
